label,p1_lowerBoundError,p1_upperBoundError
-84124980,29.68214135,-1.317858647
-84133963,28.86654131,-2.133458688
-84111506,28.23405044,-2.765949561
-84120489,29.44188811,-1.558111888
-84129472,31.31235255,0.31235255
-84138455,33.38382584,2.383825841
-84147439,17.81821428,-4.181785725
-84124980,25.4134993,-5.5865007
-84133963,27.88178648,-3.118213519
-84142946,15.47716238,-15.52283762
-84160913,21.37970993,-0.620290074
-84169896,15.31554756,-6.684452445
-84129472,45.74090604,14.74090604
-84138455,13.98811222,-17.01188778
-84147438,15.58929704,-15.41070296
-84156422,14.74749981,-7.252500185
-84165405,17.56862195,-4.431378049
-84174388,22.89211289,-8.107887113
-84183371,32.09054826,1.090548265
-84133964,23.43058252,-7.569417482
-84142947,25.86785881,-5.132141188
-84151930,16.25405513,-14.74594487
-84160914,22.075182,-8.924818
-84169897,22.79876445,-8.201235546
-84178880,20.59128245,-10.40871755
-84187863,23.0049005,-7.995099504
-84138455,11.13401261,-10.86598739
-84147438,12.00143125,-18.99856875
-84156421,26.69842946,-4.301570536
-84165405,22.80664911,-8.193350893
-84174388,20.81443802,-10.18556198
-84183371,21.30536859,-9.694631409
-84192354,23.37236844,-7.627631561
-84142947,6.949033343,-15.05096666
-84151930,8.680946291,-13.31905371
-84160913,25.0600062,-5.939993803
-84169897,26.50674005,-4.493259955
-84178880,25.06964745,-5.930352547
-84187863,25.58718705,-5.412812951
-84196846,42.91825244,11.91825244
-84205829,39.37339432,18.37339432
-84156421,15.95922377,-15.04077623
-84165404,15.60156171,-15.39843829
-84183371,19.08532292,-11.91467708
-84192354,25.98247031,-5.017529688
-84201337,27.0874688,-3.912531202
-84210320,8.313175531,-12.68682447
-84160913,10.83366255,-20.16633745
-84169896,12.57830827,-18.42169173
-84178880,12.48379604,-18.51620396
-84187863,18.41673197,-12.58326803
-84196846,23.75324907,-7.246750929
-84205829,26.22044832,-4.77955168
-84223795,24.12662544,5.126625436
-84232779,50.18891549,31.18891549
-84165404,7.600016261,-28.39998374
-84174387,13.70617034,-17.29382966
-84183371,13.95095277,-17.04904723
-84192354,20.12135529,-10.87864471
-84201337,32.13086422,1.130864218
-84210320,10.18347847,-20.81652153
-84219303,12.20042866,-18.79957134
-84228286,25.87554701,4.875547007
-84246253,31.36790085,12.36790085
-84264219,37.5218575,6.521857499
-84273202,23.07702304,-2.922976962
-84169896,6.708633401,-29.2913666
-84178879,7.18349179,-28.81650821
-84187863,13.69727189,-17.30272811
-84196846,6.343464643,-24.65653536
-84205829,7.723076038,-23.27692396
-84214812,7.527371908,-23.47262809
-84223795,11.14711049,-9.85288951
-84232778,23.9625783,-2.037421704
-84241762,24.44020297,2.440202972
-84250745,7.34462399,-14.65537601
-84259728,13.68753529,-8.312464705
-84268711,28.99922673,6.99922673
-84277694,14.68678996,-11.31321004
-84174388,8.462303142,-27.53769686
-84201338,2.014603387,-28.98539661
-84210321,6.926204754,-24.07379525
-84219304,0.637346885,-30.36265312
-84228287,16.22722031,-14.77277969
-84237270,13.40004269,-17.59995731
-84246254,18.42275412,-3.577245884
-84255237,17.18424637,-4.815753625
-84264220,15.80196188,-6.198038123
-84273203,27.15915367,5.159153671
-84282186,20.18995539,-5.81004461
-84291169,21.44292321,0.442923213
-84178879,9.963038562,-21.03696144
-84187862,7.120588576,-23.87941142
-84205829,39.41467963,-4.585320375
-84223795,44.43574371,0.435743706
-84232778,48.87131808,4.871318084
-84241761,11.30888642,-19.69111358
-84250745,23.68789459,-7.312105408
-84259728,15.20067061,-15.79932939
-84268711,21.76413694,-0.235863063
-84277694,24.38971024,-1.61028976
-84192354,23.23416614,-11.76583386
-84210321,32.10634627,-11.89365373
-84219304,32.01942045,-11.98057955
-84228287,38.81590802,8.815908024
-84237270,33.71286348,3.712863484
-84246253,3.158294942,-27.84170506
-84255237,7.976642375,-23.02335763
-84264220,15.50389051,-15.49610949
-84273203,16.21471452,-14.78528548
-84282186,7.631925393,-18.36807461
-84291169,11.35126529,-14.64873471
-84318119,11.37407834,-19.62592166
-84336085,20.56426871,-10.43573129
-84345068,20.36578332,-10.63421668
-84354051,16.05608737,-14.94391263
-84205829,40.43363881,-3.566361185
-84223795,46.37501351,16.37501351
-84232778,43.82500628,13.82500628
-84241761,46.8413205,16.8413205
-84250744,47.09913612,17.09913612
-84259728,23.32849935,-11.67150065
-84268711,34.43038794,-0.569612064
-84277694,4.401064815,-18.59893518
-84286677,11.42350537,-19.57649463
-84295660,6.296645044,-24.70335496
-84313626,7.218380064,-23.78161994
-84322610,13.19642442,-17.80357558
-84331593,14.14586261,-16.85413739
-84340576,14.59882795,-16.40117205
-84349559,15.96783843,-15.03216157
-84358542,17.50316115,-13.49683885
-84210321,22.35711738,-12.64288262
-84219304,36.81335218,6.813352183
-84228287,62.34549283,32.34549283
-84237270,66.61288693,36.61288693
-84246253,47.08116263,17.08116263
-84255236,21.76914588,-8.230854115
-84264220,17.9866291,-17.0133709
-84273203,28.43822121,-6.561778794
-84282186,13.3028288,-17.6971712
-84291169,12.71044038,-18.28955962
-84300152,9.821937306,-21.17806269
-84309135,10.86043654,-20.13956346
-84318118,10.04981181,-20.95018819
-84327102,12.30511986,-18.69488014
-84336085,34.61141384,3.611413838
-84354051,20.10685035,-15.89314965
-84372017,17.02285255,-18.97714745
-84381001,15.1266762,-20.8733238
-84389984,17.89237711,-18.10762289
-84223795,23.17078958,-11.82921042
-84232778,42.204666,12.204666
-84241761,61.53233676,31.53233676
-84259727,60.69369241,26.69369241
-84268711,13.07622125,-21.92377875
-84286677,10.45179292,-20.54820708
-84295660,4.466453307,-26.53354669
-84304643,12.03757911,-18.96242089
-84313626,12.45325368,-18.54674632
-84322609,8.919261715,-22.08073829
-84331593,13.17598429,-17.82401571
-84228287,46.08491374,12.08491374
-84237270,42.12734753,8.127347531
-84246253,42.41624867,8.416248668
-84255236,41.85616166,7.856161661
-84264219,42.8064803,8.806480295
-84282186,37.48407804,7.484078037
-84291169,7.19323992,-23.80676008
-84363034,45.16976785,15.16976785
-84232779,46.88287747,12.88287747
-84241762,40.01337318,6.013373177
-84250745,39.85612706,5.85612706
-84259728,40.43105871,6.431058709
-84268711,41.25618827,7.256188266
-84286678,38.75434478,8.754344778
-84255236,58.68000653,24.68000653
-84264219,37.91002583,3.910025829
-84273202,43.41168565,9.411685647
-84291169,11.18468561,-19.81531439
-79080940,15.80225923,-15.19774077
-79089924,9.718924493,-21.28107551
-79098907,19.54857984,-16.45142016
-79085431,32.4644782,-12.5355218
-79094415,28.10556294,-16.89443706
-79103398,19.63922034,-16.36077966
-79112381,27.11116325,-13.88883675
-79121364,26.37550977,-14.62449023
-79089923,32.26525647,-12.73474353
-79098907,28.80175708,-16.19824292
-79107890,15.05007664,-25.94992336
-79116873,18.58463892,-22.41536108
-79125856,21.16016809,-19.83983191
-79134839,11.68241636,-29.31758364
-79085432,25.96945358,-19.03054642
-79094415,29.64777818,-15.35222182
-79103399,29.437603,-15.562397
-79112382,18.80952806,-17.19047194
-79121365,19.13842652,-16.86157348
-79130348,7.441259837,-33.55874016
-79053991,26.45667575,-14.54332425
-79062974,10.04428329,-30.95571671
-79089923,23.02377007,-21.97622993
-79098906,30.99107584,-9.00892416
-79107890,19.22953316,-11.77046684
-79116873,9.72165895,-21.27834105
-79125856,16.42549871,-19.57450129
-79058483,33.33316859,-7.666831413
-79067466,24.21705118,-16.78294882
-79085432,3.409472795,-41.59052721
-79094415,26.73837426,-4.261625735
-79112382,20.54646141,-10.45353859
-79089923,30.13294598,-14.86705402
-79098906,29.16261508,-1.837384921
-79058482,4.728792303,-26.2712077
-79103398,37.04816949,-7.95183051
-79112381,24.83819268,-20.16180732
-79121365,36.18493413,-8.81506587
-79107889,21.38711875,-9.612881246
-79116872,35.05534344,4.055343438
-79067465,11.81485648,-19.18514352
-79076449,15.93192931,-15.06807069
-79103398,5.95789513,-25.04210487
-79098907,23.5110125,-7.488987496
-79107890,20.24017242,-10.75982758
-79125856,19.16966443,-21.83033557
-79134840,16.75371348,-14.24628652
-79112381,22.51748925,-8.482510754
-79121364,12.92859769,-18.07140231
-79130347,16.99897868,-24.00102132
-79139331,42.77286729,12.77286729
-79157297,13.09734807,-16.90265193
-79107890,24.33204576,-6.667954235
-79116873,18.52513692,-12.47486308
-79161789,16.35555842,-13.64444158
-79112381,22.11749181,-8.882508191
-79116873,23.20165963,-7.798340368
-79125856,64.4491122,29.4491122
-79170772,26.12145188,-4.878548121
-79179755,12.92734843,-22.07265157
-79197721,6.523880174,-24.47611983
-79139331,18.35126439,-12.64873561
-79148314,9.454574359,-21.54542564
-79175264,48.22432833,13.22432833
-79184247,41.80688221,6.806882212
-79134839,0.662197017,-30.33780298
-79170772,28.65753107,-17.34246893
-79179755,27.33991763,-3.660082365
-79224670,29.02550458,-6.974495418
-79184247,110.7060473,64.70604733
-79143822,8.873281294,-22.12671871
-79170771,11.22743926,-19.77256074
-79184247,10.86110811,-20.13889189
-84214812,29.77442706,-10.22557294
-84156422,34.04732369,-6.95267631
-84183371,25.19451478,-4.80548522
-84192355,21.31054052,-8.689459484
-84210321,23.74265445,-6.25734555
-84219304,29.6601238,-0.3398762
-84124980,11.00956988,-28.99043012
-84142947,27.31643586,-12.68356414
-84151930,24.44667043,-15.55332957
-84160913,26.51849278,-14.48150722
-84178879,31.08665018,-9.913349821
-84187862,19.14107276,-5.858927244
-84196846,6.678092534,-12.32190747
-84205829,6.900324764,-12.09967524
-84214812,5.379085833,-13.62091417
-84223795,15.43285216,-3.567147837
-84232778,29.91133097,-0.088669034
-84138456,14.30596061,-25.69403939
-84147439,17.27037089,-22.72962911
-84165405,26.05472683,-14.94527317
-84174388,32.14292729,-8.857072708
-84183371,33.98022541,-7.019774589
-84192354,26.32368398,-3.67631602
-84201338,10.45669764,-8.543302364
-84210321,7.101547357,-11.89845264
-84219304,5.839857615,-13.16014239
-84228287,10.35195137,-8.648048633
-84237270,25.57125061,-4.428749385
-84142947,20.12627415,-19.87372585
-84151930,19.44006215,-20.55993785
-84160913,24.00472677,-15.99527323
-84169896,16.56629921,-23.43370079
-84178879,22.89010192,-18.10989808
-84187862,31.087396,-9.912604001
-84214812,9.62774496,-9.37225504
-84223795,13.54593102,-5.454068981
-84232778,1.903949719,-17.09605028
-84241761,26.5808759,-3.419124105
-84259728,13.20089196,-10.79910804
-84147439,25.23571298,-14.76428702
-84156422,16.20032354,-23.79967646
-84165405,24.8230865,-15.1769135
-84174388,28.13718585,-11.86281415
-84192354,32.79832752,-8.201672476
-84201337,15.70627128,-14.29372872
-84210321,13.97747556,-5.022524441
-84219304,11.07380379,-7.926196206
-84228287,15.31774264,-3.682257363
-84237270,16.30409772,-2.695902278
-84246253,26.29444801,-2.705551986
-84255236,44.77416822,5.774168216
-84264220,40.89262349,1.892623487
-84223795,10.93678312,-18.06321688
-84232778,21.77649752,-7.223502484
-84241761,22.34920155,-6.650798447
-84250744,22.13874351,-6.861256495
-84259727,41.75215619,2.752156195
-84228287,8.064350977,-20.93564902
-84237270,21.56661976,-7.433380238
-84255236,23.50030799,-5.499692012
-84264219,39.83450035,0.834500349
-84273203,41.85238786,2.852387865
-84250745,16.72745838,-12.27254162
-84259728,19.49946937,-9.500530635
-84268711,39.65936927,0.659369266
-84246253,24.59544246,0.595442461
-84255236,21.40866135,-2.59133865
-84264219,43.63060652,4.630606519
-84250745,20.62633732,-3.373662679
-84237270,67.38963783,43.38963783
-84246253,18.71361194,-5.286388063
-84264219,20.94246312,-3.057536879
-84273202,7.819656725,-12.18034327
-84291169,14.56690799,-5.433092008
-84250745,27.29640305,3.296403048
-84259728,14.96358745,-9.036412548
-84277694,9.758374259,-14.24162574
-84286677,22.97442666,-1.025573342
-84295661,17.83056059,-2.169439412
-84273203,13.4049573,-10.5950427
-84282186,20.91855607,-19.08144393
-84291169,27.95462252,3.95462252
-84300153,31.19869354,7.198693543
-84295660,26.07715958,-13.92284042
-84304644,30.21335047,-9.786649525
-84439391,29.57665139,0.576651389
-84448374,27.04124853,-1.958751473
-84282186,17.92272226,-6.077277737
-84300152,32.10273855,-7.897261446
-84309136,31.73233658,-8.267663416
-84327102,16.301412,-9.698588001
-84336085,11.06936365,-14.93063635
-84345068,15.9000294,-14.0999706
-84452866,27.3893078,-1.610692201
-84286677,18.80655076,-5.193449241
-84295660,33.11917373,9.119173733
-84304643,42.72979412,2.729794115
-84322610,18.42457866,-21.57542134
-84331593,4.495419576,-21.50458042
-84358542,17.67468787,-12.32531213
-84367525,25.16489909,-4.835100907
-84376509,22.87162694,-7.128373058
-84385492,7.605633785,-18.39436622
-84394475,3.265433323,-15.73456668
-84430408,33.31652059,2.316520585
-84439391,22.43449972,-8.565500279
-84448374,25.27137354,-5.728626461
-84457357,25.90178607,-5.098213935
-84273203,27.37684354,3.376843539
-84282186,20.29885572,-3.701144279
-84291169,20.33297203,-3.667027968
-84300152,37.33032735,13.33032735
-84327102,4.202513561,-21.79748644
-84363034,2.86001661,-23.13998339
-84381001,0.343700395,-25.65629961
-84398967,17.56074766,-1.439252337
-84407950,3.999434357,-15.00056564
-84416933,8.495244467,-10.50475553
-84434900,3.404037831,-27.59596217
-84443883,18.3293792,-12.6706208
-84461849,21.75688014,-9.243119862
-84470832,10.32735863,-20.67264137
-84295660,18.35629404,-5.643705956
-84304643,25.10178876,1.101788756
-84313626,32.98859779,0.988597792
-84331593,10.09686468,-21.90313532
-84340576,0.546177764,-25.45382224
-84358542,0.352428408,-25.64757159
-84367525,1.051221891,-24.94877811
-84394475,17.92488444,-1.075115559
-84403458,10.71292627,-8.287073729
-84412441,9.738174,-9.261826
-84421424,8.091534835,-10.90846517
-84430407,24.46895202,0.468952017
-84439391,4.862566599,-19.1374334
-84448374,6.29706131,-24.70293869
-84457357,19.60459068,-11.39540932
-84466340,6.758294566,-24.24170543
-84300152,15.23658375,-8.763416251
-84318118,19.99839183,-12.00160817
-84327102,11.27809664,-20.72190336
-84372017,1.710756371,-24.28924363
-84381000,3.542985486,-22.45701451
-84389984,14.50426803,-4.49573197
-84398967,11.40788925,-7.592110746
-84443883,14.00288177,-9.997118233
-84452866,17.07401715,-6.925982848
-84461849,24.42168317,0.421683175
-84295661,26.57536981,2.575369808
-84304644,7.841678902,-16.1583211
-84313627,15.75586294,-8.244137058
-84322610,11.65731042,-20.34268958
-84331594,7.032922676,-11.96707732
-84340577,13.62408211,-5.375917893
-84349560,8.901942473,-10.09805753
-84358543,4.428067206,-14.57193279
-84376509,10.02229777,-8.977702225
-84385492,15.12689452,-3.873105479
-84394476,9.910185914,-9.089814086
-84448375,14.06747315,-9.932526846
-84457358,7.690993489,-16.30900651
-84466341,25.85060559,1.850605588
-84475324,33.09541525,4.095415254
-84300152,17.90394402,-6.096055982
-84318118,19.77320092,0.773200919
-84354051,1.937891842,-17.06210816
-84381000,6.509369032,-12.49063097
-84389983,0.318393251,-18.68160675
-84398967,7.710183874,-11.28981613
-84407950,3.824568931,-15.17543107
-84452866,7.863281445,-16.13671856
-84461849,9.302155934,-14.69784407
-84470832,20.62694782,-9.373052183
-84479815,28.84795889,-1.152041106
-84322610,13.1393115,-5.860688497
-84376509,5.908745426,-13.09125457
-84385492,12.21239349,-6.787606509
-84394475,15.84903556,-3.150964436
-84403459,6.896650043,-12.10334996
-84412442,6.776953312,-12.22304669
-84457358,5.467232365,-24.53276764
-84466341,9.914259311,-20.08574069
-84475324,9.956541659,-20.04345834
-84484307,16.71406672,-13.28593328
-84493290,16.01154777,-12.98845223
-84381000,11.10338139,-7.896618609
-84389983,16.49499627,-2.505003733
-84398966,15.24721287,-3.752787132
-84407950,12.00731721,-6.992682787
-84416933,12.62958076,-6.370419241
-84425916,15.4727782,-3.527221801
-84434899,21.96854389,2.968543887
-84461849,8.452190777,-21.54780922
-84470832,5.955899442,-24.04410056
-84479815,4.614903456,-19.38509654
-84358543,13.12967157,-5.87032843
-84367526,16.68568535,-2.314314651
-84394475,23.07012278,4.070122775
-84403458,6.72779733,-25.27220267
-84430408,6.464624248,-19.53537575
-84439391,18.69525008,-7.304749922
-84466341,9.300796423,-14.69920358
-84484307,5.17785668,-18.82214332
-84493290,6.076876882,-17.92312312
-84345067,18.16307038,-10.83692962
-84354051,9.87986923,-19.12013077
-84363034,19.38200841,-9.617991593
-84372017,11.40781367,-9.592186335
-84381000,9.409340163,-11.59065984
-84389983,8.501587624,-12.49841238
-84398966,9.097409941,-22.90259006
-84407949,11.05326715,-20.94673285
-84416933,10.63347549,-21.36652451
-84425916,9.781214234,-16.21878577
-84434899,2.854775457,-23.14522454
-84443882,6.311354521,-19.68864548
-84452865,4.680040631,-16.31995937
-84470832,10.87853667,-13.12146333
-84479815,7.764667543,-16.23533246
-84488798,5.526371492,-18.47362851
-84497781,6.008376754,-17.99162325
-84506764,39.46888163,15.46888163
-84349559,14.14916961,-14.85083039
-84358543,17.06808169,-11.93191831
-84367526,21.27565068,-7.724349317
-84376509,11.81428181,-9.185718191
-84385492,11.56509696,-9.434903044
-84394475,11.38462127,-9.615378734
-84403458,9.037757707,-22.96224229
-84421425,6.322862215,-19.67713778
-84430408,11.26238052,-14.73761948
-84448374,9.889449603,-16.1105504
-84457357,6.804969006,-19.19503099
-84475324,6.984417864,-19.01558214
-84484307,13.44236301,-10.55763699
-84493290,10.18338452,-13.81661548
-84502273,9.111863112,-14.88813689
-84363035,13.62228745,-15.37771255
-84372018,15.63067782,-13.36932218
-84381001,21.33300165,-7.666998351
-84389984,6.653269663,-14.34673034
-84398967,9.375931547,-11.62406845
-84407950,5.997802645,-26.00219735
-84434900,3.892633719,-22.10736628
-84443883,6.252049327,-19.74795067
-84452866,7.631242444,-18.36875756
-84461849,12.42961774,-14.57038226
-84470832,10.22181199,-16.77818801
-84479816,10.97499221,-16.02500779
-84506765,7.838631441,-16.16136856
-84515748,9.982737452,-14.01726255
-84358542,17.76168967,-11.23831033
-84403458,7.711792563,-13.28820744
-84412441,6.619038549,-25.38096145
-84439391,12.28412878,-18.71587122
-84475323,9.347338716,-21.65266128
-84484307,13.36286892,-17.63713108
-84493290,13.08157962,-10.91842038
-84511256,12.06112447,-11.93887553
-84381001,12.30686617,-16.69313383
-84398967,40.25585913,19.25585913
-84407950,11.09884586,-9.901154138
-84416933,16.1059744,-15.8940256
-84434900,15.52731472,-15.47268528
-84443883,8.89322055,-22.10677945
-84479815,15.99291156,-15.00708844
-84488799,24.48664776,-6.513352238
-84497782,19.99541727,-4.004582728
-84506765,1.445671227,-22.55432877
-84484306,18.5772752,-12.4227248
-84493290,54.82166835,23.82166835
-84502273,15.33588709,-15.66411291
-84488798,16.87472926,-14.12527074
-84497782,29.60511636,-1.394883638
-84466340,32.96879616,-24.03120384
-84452866,42.4840606,-2.515939401
-84461849,39.48904214,-17.51095786
-84470832,41.96085419,-15.03914581
